Feature,Imp. # FAIR),Imp. (% FAIR),Imp. (Exposure)
% Market Units,0.3564338564164431,0.9932116067804282,0.16245979262630453
% Change - Nonrenewed Policies (by Company),0.0033995878481195597,0.0012710430620847053,0.006456551500990402
% Change - Expiring Policies,0.005533684679353379,0.0006833370184415919,0.0015811192295120454
% Change - Nonrenewed Policies (by Owner),0.0030635116816281876,0.0005178176961624637,0.002549223903593996
Change in Nonrenewed to Income Growth Ratio,0.001435993909323679,0.0003805472001955826,0.0017327229577586438
% Change - Nonrenewed Policies,0.0014090617169083958,0.0002166038251669849,0.0025524332736391138
% Change Median Income,0.00196349141511637,0.00014751751594752651,0.001692235929315902
New and Renewed to Nonrenewed and Income Growth Product,0.0015924674548807858,0.00013000941603944426,0.0017282565385912936
Median Home Value - Census ($),0.0006823497874618335,0.00012371420290763544,0.00220241673540593
Change in Renewed to Income Growth Ratio,0.0011904249056225746,0.00011572648907032021,0.0006788496922987664
New and Renewed to Nonrenewed and Income Growth Ratio,0.0015080955698604716,0.00011001750914358682,0.0018353895794215437
Housing Value to Log Median Income Ratio,0.0005185663030294551,0.00010870636626277719,0.0036100291797915517
Log of Average Median Income,0.0005929021704808935,0.00010023045210262854,0.0013950393413216587
Premium to Exposure Ratio,0.0029709668696997365,9.415565203616006e-05,0.009318984650461591
% Nonrenewed Policies (by Owner),0.0017228197754973781,9.18103535545989e-05,0.0011054251941734314
Fire Smoke Claims to Total Units Ratio,0.0009478744491526383,8.979972291748397e-05,0.001861872358227184
Growth in Losses to Fire Disasters 3yr Ratio,0.0006070063766374223,8.886888085534101e-05,0.0010700268209815698
% Change - Renewed Policies,0.001024080304946538,7.825984563176353e-05,0.0008982954634528288
% Change - Earned Premiums,0.0038946041214279947,7.68305151577841e-05,0.0023259851844525813
Losses to Company Nonrenewed Ratio,0.0007174679929569752,7.50049802916131e-05,0.0010020463409527798
% Nonrenewed Policies (by Company),0.0018058705710028268,7.47760506350436e-05,0.08178778024320202
Housing Value to Median Income Ratio,0.0011116938331878052,7.437217733865799e-05,0.0021464669908568927
Loss Burden per Unit,0.0008688852535148057,7.295909841755032e-05,0.0013112895072270848
Growth in Losses to All Disasters 10yr Ratio,0.0002949773319867577,6.932454900809731e-05,0.0009482110376376312
% Change - Claims (Fire and Smoke),0.0006128096780331801,6.881291220091366e-05,0.001054617258071697
Losses to Owner Nonrenewed Ratio,0.00024157488885924385,6.825339075224761e-05,0.001335670151615391
Growth in Losses to All Disasters 5yr Ratio,0.000475436363912146,6.680733381224315e-05,0.0014510280369485638
Nonrenewed Policies (by Company),0.42282775673278217,6.661732069950973e-05,0.40658372178128527
Avg Median Income,0.0007741147090963311,6.440128100307629e-05,0.001701482999579164
Total Res Units,0.03226004838851921,6.264034963125331e-05,0.005153269054595931
Premium Adequacy,0.0004298589530598375,6.139056439510568e-05,0.001841490587117331
Zillow Mean Home Value ($),0.00031469111624610733,6.097169525105152e-05,0.002860179598404238
Growth in Losses to Fire Disasters 5yr Ratio,0.0005906110886708397,6.054984868557784e-05,0.0008599327411988925
Zillow Home Value 2021 ($),0.0006709506497507587,5.894804787388009e-05,0.002030317172714979
Claims (Fire and Smoke),0.000734186242745571,5.884821411345393e-05,0.0014194865329490284
Renewed to Nonrenewed Ratio,0.0007695004743963511,5.765206201529865e-05,0.0017421045397150521
% Change - Zillow Home Value,0.0011321307898242352,5.4397387700348375e-05,0.003447272215792613
Median Gross Rent ($),0.0016003360247024965,5.3724398087774654e-05,0.0008635467779219088
Median Owner Cost ($),0.0006154394895053327,5.233935932099699e-05,0.002391379070394888
Avg % White-only Pop,0.0015715781667745455,5.223430669399223e-05,0.011876261424039858
All Disasters 10y,0.0005039461092188468,5.153836145738882e-05,0.0004274238060846436
Loss Burden per Exposure,0.0016004723857783213,5.067706095164442e-05,0.0010800711897927726
Losses (Fire and Smoke) ($),0.0008310413016562548,4.984690458085373e-05,0.001470108142685522
New and Renewed to Total Units Ratio,0.01288122297220773,4.598360259618203e-05,0.0037892058558909618
New and Renewed to Nonrenewed Ratio,0.001345441136137931,4.455567699179047e-05,0.0017997791794830335
Nonrenewal Rate,0.0006790812401445824,4.442160561211043e-05,0.0013076210675700354
Losses to Premium Ratio,0.0002668245082697529,4.368299494095473e-05,0.0014931815240532558
% Nonrenewed Policies,0.0011954247614281554,4.228469698361074e-05,0.0006962003386452342
Renewed Policies,0.0064607594197815515,4.184796456251551e-05,0.006197833506234012
% Change - New Policies,0.001915542503121285,4.1208913196741135e-05,0.0016865015839348703
Zillow Home Value 2019 ($),0.0005893116075508869,3.996953857540881e-05,0.002540505771561441
Nonrenewed Policies,0.022674085290560225,3.7846214009645505e-05,0.005540622464501263
Voluntary Market Units,0.0035547141509906966,3.749915709070116e-05,0.0018521089297288517
New Policies,0.044531747842737016,3.748270701419797e-05,0.005570674641603614
Earned Premium ($),0.003488656954252013,3.614773916568035e-05,0.19896539992140952
Growth in Losses to Fire Disasters 10yr Ratio,0.0004559326381489618,3.528849637340118e-05,0.0014677496422546951
Growth in Losses to All Disasters 3yr Ratio,0.0005986585548452431,3.467900408960137e-05,0.0010167918030700273
Nonrenewed Policies (by Owner),0.010559071479811959,3.4319169821107956e-05,0.0026780290376714837
All Disasters 1y,0.00016524227953400655,3.2258304444789916e-05,0.0003105513958320154
Housing Units,0.0017392566186864359,3.1795379398055734e-05,0.005191741795510587
Expiring Policies,0.015092841573646284,3.146882366799027e-05,0.00456503067643804
Renewal Resilience,0.0009863351360830332,3.0655971852510655e-05,0.002940090044642399
Zillow Home Value 2018 ($),0.0008724304414879533,2.7653849424981532e-05,0.001729335972504589
Fire Disasters 10y,0.0016532114445068945,2.575466197193015e-05,0.00023244096854003294
% Change - Losses (Fire and Smoke),0.0006035135043519504,2.5291752762444178e-05,0.0013577711699473203
Zillow Home Value 2020 ($),0.00042817402676659287,1.803183384225716e-05,0.0015074560213041968
% Change White-only Pop,0.0013241504484879155,1.6491087905543252e-05,0.000300127138914865
Fire Disasters 5y,0.0010851852158222353,1.2202393392587356e-05,0.0004959492264594667
All Disasters 3y,0.00037996481062981414,1.2201782287583162e-05,0.0004780949098060379
Fire Disasters 3y,0.0001743189363232326,6.941515839394354e-06,0.00014008863158328441
All Disasters 5y,0.00035774370091687445,5.032391475361542e-06,0.00018616832729172954
Fire Disasters 1y,9.443251099749235e-05,3.312611686923025e-06,0.00012314109313442788
