ZIP,Count_2022,Sum_1yr,Avg_3yr,Sum_3yr,Avg_5yr,Sum_5yr,Avg_10yr,Sum_10yr
90201,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90220,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90221,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90222,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90223,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90224,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90239,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90240,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90241,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90242,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90247,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90248,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90249,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90250,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90251,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90260,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90261,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90262,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90263,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90264,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90265,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90270,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90290,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90291,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90294,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90301,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90302,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90303,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90304,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90305,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90306,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90307,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90308,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90309,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90310,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90311,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90312,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90313,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90397,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90398,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90501,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90502,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90503,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90504,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90505,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90506,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90507,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90508,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90509,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90510,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90601,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90602,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90603,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90604,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90605,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90606,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90607,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90608,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90609,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90610,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90612,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90640,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90650,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90651,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90652,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90659,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90701,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90702,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90703,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90704,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90706,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90707,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90711,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90712,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90713,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90714,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90715,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90717,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90723,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90744,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90745,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90746,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90747,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90748,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90749,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
90895,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91001,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91003,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91006,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91007,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91009,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91010,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91016,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91017,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91020,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91021,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91040,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91041,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91042,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91043,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91066,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91077,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91101,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91102,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91103,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91104,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91105,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91106,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91107,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91109,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91110,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91114,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91115,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91116,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91117,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91121,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91123,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91124,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91125,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91126,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91129,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91131,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91182,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91184,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91185,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91188,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91189,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91191,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91199,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91201,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91202,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91203,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91204,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91205,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91206,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91207,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91208,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91209,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91210,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91221,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91222,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91225,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91226,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91302,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91306,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91310,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91311,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91313,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91316,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91321,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91322,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91324,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91325,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91327,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91328,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91329,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91330,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91331,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91333,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91334,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91335,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91337,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91342,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91354,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91355,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91356,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91357,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91372,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91384,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91385,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91392,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91396,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91416,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91426,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91436,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91501,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91502,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91503,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91504,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91505,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91506,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91507,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91508,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91510,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91521,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91522,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91523,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91526,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91702,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91708,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
91710,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
91711,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91722,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91723,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91724,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91740,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91741,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91743,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
91758,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
91761,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
91762,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
91763,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
91764,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
91766,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91767,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91768,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91769,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91770,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91771,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91772,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91784,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
91785,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
91786,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
91788,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91789,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91795,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91797,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91798,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
91799,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91801,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91802,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91803,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91804,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91841,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91896,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91899,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
92201,2,0.0,2.0,4,1.75,7,1.8333333333333333,11
92202,2,0.0,2.0,4,1.75,7,1.8333333333333333,11
92203,2,0.0,2.0,4,1.75,7,1.8333333333333333,11
92220,2,0.0,2.0,4,1.75,7,1.8333333333333333,11
92222,1,0.0,1.0,2,1.0,2,1.3333333333333333,4
92223,2,0.0,2.0,4,1.75,7,1.8333333333333333,11
92225,2,0.0,2.0,4,1.75,7,1.8333333333333333,11
92226,2,0.0,2.0,4,1.75,7,1.8333333333333333,11
92227,1,0.0,1.0,2,1.0,2,1.3333333333333333,4
92230,2,0.0,2.0,4,1.75,7,1.8333333333333333,11
92231,1,0.0,1.0,2,1.0,2,1.3333333333333333,4
92232,1,0.0,1.0,2,1.0,2,1.3333333333333333,4
92233,1,0.0,1.0,2,1.0,2,1.3333333333333333,4
92236,2,0.0,2.0,4,1.75,7,1.8333333333333333,11
92242,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
92249,1,0.0,1.0,2,1.0,2,1.3333333333333333,4
92250,1,0.0,1.0,2,1.0,2,1.3333333333333333,4
92251,1,0.0,1.0,2,1.0,2,1.3333333333333333,4
92254,2,0.0,2.0,4,1.75,7,1.8333333333333333,11
92257,1,0.0,1.0,2,1.0,2,1.3333333333333333,4
92259,1,0.0,1.0,2,1.0,2,1.3333333333333333,4
92268,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
92273,1,0.0,1.0,2,1.0,2,1.3333333333333333,4
92274,2,0.0,2.0,4,1.75,7,1.8333333333333333,11
92280,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
92281,1,0.0,1.0,2,1.0,2,1.3333333333333333,4
92283,1,0.0,1.0,2,1.0,2,1.3333333333333333,4
92285,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
92301,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
92304,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
92309,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
92311,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
92312,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
92316,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
92320,2,0.0,2.0,4,1.75,7,1.8333333333333333,11
92323,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
92324,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
92325,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
92327,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
92329,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
92331,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
92332,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
92333,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
92334,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
