,ZIP Code,< -$100,-$100 to -$50,-$50 to -$0,$0 to $50,$50 to $100,> $100,n_decrease,n_increase,ratio_inc_to_dec
2,90004,1,2,4,72,0,0,7,72,0.09722222222222222
3,90005,0,0,0,10,0,0,0,10,0.0
4,90006,0,0,0,9,0,0,0,9,0.0
5,90007,0,0,0,12,0,0,0,12,0.0
6,90008,0,0,0,32,0,0,0,32,0.0
10,90016,0,0,1,263,1,0,1,264,0.003787878787878788
12,90018,1,0,0,20,0,0,1,20,0.05
13,90019,4,1,4,405,0,0,9,405,0.022222222222222223
14,90020,0,0,0,31,0,0,0,31,0.0
17,90024,0,0,15,45,0,0,15,45,0.3333333333333333
18,90025,2,0,6,24,0,0,8,24,0.3333333333333333
19,90026,0,0,6,47,0,0,6,47,0.1276595744680851
20,90027,3,0,25,78,0,0,28,78,0.358974358974359
21,90028,0,0,0,8,0,0,0,8,0.0
22,90029,0,3,23,14,0,0,26,14,1.8571428571428572
23,90031,2,0,2,17,0,0,4,17,0.23529411764705882
24,90032,0,0,4,3,0,0,4,3,1.3333333333333333
26,90034,0,0,0,38,0,0,0,38,0.0
27,90035,0,0,0,33,0,0,0,33,0.0
28,90036,0,0,0,26,0,0,0,26,0.0
30,90038,0,0,0,8,0,0,0,8,0.0
31,90039,0,4,22,129,0,0,26,129,0.20155038759689922
32,90041,0,0,0,29,0,0,0,29,0.0
33,90042,0,1,3,31,0,0,4,31,0.12903225806451613
34,90043,1,1,5,60,0,0,7,60,0.11666666666666667
35,90044,0,0,1,9,0,0,1,9,0.1111111111111111
36,90045,0,1,0,23,0,0,1,23,0.043478260869565216
37,90046,24,10,25,236,0,0,59,236,0.25
38,90047,0,1,9,167,0,0,10,167,0.059880239520958084
39,90048,0,0,0,56,0,0,0,56,0.0
40,90049,8,3,24,366,0,0,35,366,0.09562841530054644
41,90056,0,0,0,17,0,0,0,17,0.0
45,90064,10,15,106,171,0,0,131,171,0.7660818713450293
46,90065,0,0,0,42,0,0,0,42,0.0
47,90066,0,0,3,99,0,0,3,99,0.030303030303030304
49,90068,5,4,16,207,0,0,25,207,0.12077294685990338
50,90069,0,1,15,126,0,0,16,126,0.12698412698412698
52,90077,13,2,25,170,0,0,40,170,0.23529411764705882
53,90094,0,0,0,12,0,0,0,12,0.0
54,90201,0,0,0,6,0,0,0,6,0.0
55,90210,13,8,18,356,0,0,39,356,0.10955056179775281
56,90211,0,0,0,9,0,0,0,9,0.0
57,90212,0,0,1,16,0,0,1,16,0.0625
58,90220,0,0,0,12,0,0,0,12,0.0
59,90221,0,0,0,19,0,0,0,19,0.0
60,90222,0,0,0,5,0,0,0,5,0.0
61,90230,0,0,0,46,0,0,0,46,0.0
62,90232,0,0,0,23,0,0,0,23,0.0
63,90240,0,2,1,38,0,0,3,38,0.07894736842105263
64,90241,0,1,1,31,0,0,2,31,0.06451612903225806
65,90242,0,0,1,16,0,0,1,16,0.0625
66,90245,0,0,0,14,0,0,0,14,0.0
67,90247,0,0,0,9,0,0,0,9,0.0
69,90249,0,0,0,5,0,0,0,5,0.0
70,90250,0,0,1,12,0,0,1,12,0.08333333333333333
71,90254,0,0,0,59,0,0,0,59,0.0
73,90260,0,0,0,7,0,0,0,7,0.0
74,90262,0,1,25,45,0,0,26,45,0.5777777777777777
76,90265,403,56,65,348,12,0,524,360,1.4555555555555555
77,90266,0,0,5,106,0,0,5,106,0.04716981132075472
78,90272,53,8,21,128,0,0,82,128,0.640625
79,90274,7,0,7,78,0,0,14,78,0.1794871794871795
80,90275,0,1,4,48,0,0,5,48,0.10416666666666667
81,90277,1,0,0,32,0,0,1,32,0.03125
82,90278,0,0,0,29,0,0,0,29,0.0
83,90280,0,0,0,11,0,0,0,11,0.0
84,90290,14,5,5,49,0,0,24,49,0.4897959183673469
85,90291,0,0,1,287,0,0,1,287,0.003484320557491289
86,90292,0,0,0,109,0,0,0,109,0.0
87,90293,1,0,0,26,0,0,1,26,0.038461538461538464
92,90305,0,0,0,6,0,0,0,6,0.0
93,90401,0,0,0,9,0,0,0,9,0.0
94,90402,0,3,2,152,0,0,5,152,0.03289473684210526
95,90403,0,0,2,23,0,0,2,23,0.08695652173913043
97,90405,0,0,0,55,0,0,0,55,0.0
98,90501,0,0,0,16,0,0,0,16,0.0
99,90502,0,0,0,5,0,0,0,5,0.0
100,90503,0,0,0,15,0,0,0,15,0.0
101,90504,0,0,0,13,0,0,0,13,0.0
102,90505,0,0,1,27,0,0,1,27,0.037037037037037035
103,90601,1,0,4,11,0,0,5,11,0.45454545454545453
105,90603,0,2,0,7,0,0,2,7,0.2857142857142857
106,90604,0,0,0,7,0,0,0,7,0.0
107,90605,0,0,1,9,0,0,1,9,0.1111111111111111
108,90606,0,0,13,27,0,0,13,27,0.48148148148148145
109,90620,0,0,0,14,0,0,0,14,0.0
110,90621,0,0,0,29,0,0,0,29,0.0
111,90623,0,0,0,23,0,0,0,23,0.0
112,90630,0,0,3,59,0,0,3,59,0.05084745762711865
113,90631,1,12,18,79,0,0,31,79,0.3924050632911392
114,90638,1,1,0,18,0,0,2,18,0.1111111111111111
115,90640,0,0,0,14,0,0,0,14,0.0
116,90650,0,0,0,25,0,0,0,25,0.0
117,90660,2,1,2,55,0,0,5,55,0.09090909090909091
118,90670,0,0,0,5,0,0,0,5,0.0
119,90680,0,0,0,7,0,0,0,7,0.0
121,90703,0,0,0,56,0,0,0,56,0.0
122,90704,6,3,2,19,0,0,11,19,0.5789473684210527
123,90706,0,0,0,35,0,0,0,35,0.0
124,90710,0,0,0,9,0,0,0,9,0.0
125,90712,0,0,0,37,0,0,0,37,0.0
126,90713,0,0,0,41,0,0,0,41,0.0
127,90715,0,0,0,18,0,0,0,18,0.0
129,90717,0,0,0,6,0,0,0,6,0.0
130,90720,0,0,0,79,0,0,0,79,0.0
131,90723,0,0,0,13,0,0,0,13,0.0
132,90731,0,1,0,13,0,0,1,13,0.07692307692307693
133,90732,0,0,1,20,0,0,1,20,0.05
134,90740,1,0,0,217,0,0,1,217,0.004608294930875576
135,90742,0,0,2,72,0,0,2,72,0.027777777777777776
136,90743,0,2,0,55,0,0,2,55,0.03636363636363636
137,90744,0,0,0,9,0,0,0,9,0.0
138,90745,0,0,0,16,0,0,0,16,0.0
139,90746,0,0,1,28,0,0,1,28,0.03571428571428571
140,90755,0,0,1,7,0,0,1,7,0.14285714285714285
141,90802,0,0,0,5,0,0,0,5,0.0
142,90803,110,102,183,1064,0,0,395,1064,0.37124060150375937
143,90804,0,0,0,5,0,0,0,5,0.0
144,90805,0,0,0,52,0,0,0,52,0.0
145,90806,0,0,0,37,0,0,0,37,0.0
146,90807,0,0,8,27,0,0,8,27,0.2962962962962963
147,90808,0,0,2,147,0,0,2,147,0.013605442176870748
148,90810,0,0,2,33,0,0,2,33,0.06060606060606061
150,90814,0,2,2,57,0,0,4,57,0.07017543859649122
151,90815,1,1,0,167,0,0,2,167,0.011976047904191617
152,91001,3,1,0,64,0,0,4,64,0.0625
153,91006,0,0,0,15,0,0,0,15,0.0
156,91010,1,1,4,18,0,0,6,18,0.3333333333333333
157,91011,2,1,0,87,0,0,3,87,0.034482758620689655
158,91016,2,0,0,20,0,0,2,20,0.1
159,91020,0,0,0,5,0,0,0,5,0.0
161,91024,0,0,1,29,0,0,1,29,0.034482758620689655
162,91030,0,0,9,19,0,0,9,19,0.47368421052631576
163,91040,4,1,8,44,0,0,13,44,0.29545454545454547
164,91042,3,1,2,25,0,0,6,25,0.24
166,91103,0,0,0,23,0,0,0,23,0.0
167,91104,0,0,0,16,0,0,0,16,0.0
168,91105,0,0,4,47,0,0,4,47,0.0851063829787234
169,91106,0,0,0,13,0,0,0,13,0.0
170,91107,0,0,0,41,0,0,0,41,0.0
171,91108,0,0,0,15,0,0,0,15,0.0
172,91201,0,0,0,24,0,0,0,24,0.0
173,91202,0,0,1,10,0,0,1,10,0.1
177,91206,3,1,1,21,0,0,5,21,0.23809523809523808
178,91207,0,0,0,10,0,0,0,10,0.0
179,91208,2,2,3,19,0,0,7,19,0.3684210526315789
180,91214,0,0,3,54,0,0,3,54,0.05555555555555555
181,91301,6,0,6,151,1,0,12,152,0.07894736842105263
182,91302,36,14,7,146,0,0,57,146,0.3904109589041096
183,91303,0,0,0,5,0,0,0,5,0.0
184,91304,1,1,1,41,0,0,3,41,0.07317073170731707
185,91306,0,0,0,19,0,0,0,19,0.0
186,91307,0,1,0,57,0,0,1,57,0.017543859649122806
187,91311,3,2,3,43,0,0,8,43,0.18604651162790697
188,91316,1,1,3,115,0,0,5,115,0.043478260869565216
189,91320,18,25,10,97,0,0,53,97,0.5463917525773195
190,91321,11,10,22,152,0,0,43,152,0.28289473684210525
191,91324,1,0,1,23,0,0,2,23,0.08695652173913043
192,91325,0,0,0,28,0,0,0,28,0.0
193,91326,0,1,2,35,0,0,3,35,0.08571428571428572
195,91335,0,0,1,22,0,0,1,22,0.045454545454545456
197,91342,0,1,7,55,0,0,8,55,0.14545454545454545
198,91343,0,0,0,22,0,0,0,22,0.0
199,91344,1,0,4,38,0,0,5,38,0.13157894736842105
200,91345,0,0,0,6,0,0,0,6,0.0
201,91350,1,0,1,6,0,0,2,6,0.3333333333333333
202,91351,3,2,1,33,0,0,6,33,0.18181818181818182
203,91352,9,8,4,21,0,0,21,21,1.0
204,91354,3,2,1,3,0,0,6,3,2.0
205,91355,1,0,1,19,0,0,2,19,0.10526315789473684
206,91356,1,0,17,103,0,0,18,103,0.17475728155339806
207,91360,0,3,2,84,0,0,5,84,0.05952380952380952
208,91361,5,2,5,118,0,0,12,118,0.1016949152542373
209,91362,0,0,2,109,0,0,2,109,0.01834862385321101
210,91364,1,0,12,99,0,0,13,99,0.13131313131313133
211,91367,0,0,2,64,0,0,2,64,0.03125
212,91377,1,4,2,58,0,0,7,58,0.1206896551724138
213,91381,4,0,1,1,0,0,5,1,5.0
214,91384,7,8,47,74,0,0,62,74,0.8378378378378378
215,91387,6,3,6,122,0,0,15,122,0.12295081967213115
216,91390,9,9,31,87,0,1,49,88,0.5568181818181818
217,91401,0,0,0,39,0,0,0,39,0.0
219,91403,1,0,3,122,0,0,4,122,0.03278688524590164
220,91405,0,0,0,21,0,0,0,21,0.0
221,91406,0,0,1,43,0,0,1,43,0.023255813953488372
222,91411,0,0,0,15,0,0,0,15,0.0
223,91423,1,1,0,179,0,0,2,179,0.0111731843575419
224,91436,4,2,10,139,0,0,16,139,0.11510791366906475
225,91501,1,10,16,11,0,0,27,11,2.4545454545454546
226,91504,2,1,0,13,0,0,3,13,0.23076923076923078
227,91505,0,0,1,27,0,0,1,27,0.037037037037037035
228,91506,0,0,0,23,0,0,0,23,0.0
229,91601,0,0,0,22,0,0,0,22,0.0
230,91602,0,0,0,47,0,0,0,47,0.0
231,91604,1,1,10,237,0,0,12,237,0.05063291139240506
232,91605,1,2,0,16,0,0,3,16,0.1875
233,91606,0,0,0,9,0,0,0,9,0.0
234,91607,1,0,0,43,0,0,1,43,0.023255813953488372
235,91701,7,0,2,21,0,0,9,21,0.42857142857142855
236,91702,0,0,0,9,0,0,0,9,0.0
237,91706,0,0,0,7,0,0,0,7,0.0
239,91709,1,1,1,16,0,0,3,16,0.1875
240,91710,2,0,0,17,0,0,2,17,0.11764705882352941
241,91711,0,0,1,38,0,0,1,38,0.02631578947368421
243,91724,0,0,0,9,0,0,0,9,0.0
244,91730,7,16,16,31,0,0,39,31,1.2580645161290323
247,91737,1,1,1,19,0,0,3,19,0.15789473684210525
248,91739,0,0,0,15,0,0,0,15,0.0
249,91740,0,0,0,10,0,0,0,10,0.0
250,91741,3,1,1,35,0,0,5,35,0.14285714285714285
252,91745,0,0,0,10,0,0,0,10,0.0
254,91748,0,0,0,9,0,0,0,9,0.0
255,91750,0,0,0,15,0,0,0,15,0.0
256,91752,0,0,1,129,0,0,1,129,0.007751937984496124
257,91754,0,0,0,14,0,0,0,14,0.0
259,91759,1,1,0,12,0,0,2,12,0.16666666666666666
260,91761,0,0,0,9,0,0,0,9,0.0
261,91762,0,0,0,6,0,0,0,6,0.0
263,91764,0,0,0,11,0,0,0,11,0.0
264,91765,0,0,1,16,0,0,1,16,0.0625
266,91770,0,0,0,5,0,0,0,5,0.0
267,91773,0,1,1,7,0,0,2,7,0.2857142857142857
270,91784,0,0,0,29,0,0,0,29,0.0
271,91786,1,3,1,14,0,0,5,14,0.35714285714285715
272,91789,1,0,0,9,0,0,1,9,0.1111111111111111
274,91791,3,0,0,13,0,0,3,13,0.23076923076923078
278,91901,1,2,5,12,0,0,8,12,0.6666666666666666
279,91902,2,0,2,39,0,0,4,39,0.10256410256410256
281,91910,0,0,3,27,0,0,3,27,0.1111111111111111
282,91911,1,1,3,28,0,0,5,28,0.17857142857142858
283,91913,0,0,3,5,0,0,3,5,0.6
284,91914,0,0,1,6,0,0,1,6,0.16666666666666666
285,91915,0,0,1,8,0,0,1,8,0.125
286,91916,0,0,1,4,0,0,1,4,0.25
288,91932,0,0,0,78,0,0,0,78,0.0
289,91935,2,1,1,5,0,0,4,5,0.8
290,91941,2,4,8,42,0,0,14,42,0.3333333333333333
291,91942,0,0,3,19,0,0,3,19,0.15789473684210525
292,91945,1,0,1,8,0,0,2,8,0.25
293,91950,17,3,6,29,0,0,26,29,0.896551724137931
294,91962,1,0,0,5,0,0,1,5,0.2
296,91977,8,6,5,39,0,0,19,39,0.48717948717948717
297,91978,1,1,1,6,0,0,3,6,0.5
299,92003,0,0,0,8,0,0,0,8,0.0
300,92004,1,1,45,326,0,0,47,326,0.1441717791411043
301,92007,0,0,3,16,0,0,3,16,0.1875
302,92008,0,1,2,39,0,0,3,39,0.07692307692307693
303,92009,1,1,8,59,0,0,10,59,0.1694915254237288
304,92010,0,1,8,18,0,0,9,18,0.5
305,92011,0,0,11,21,0,0,11,21,0.5238095238095238
306,92014,13,2,16,157,0,0,31,157,0.19745222929936307
307,92019,1,6,3,46,0,0,10,46,0.21739130434782608
308,92020,1,4,2,32,0,0,7,32,0.21875
309,92021,4,2,2,54,0,0,8,54,0.14814814814814814
310,92024,3,0,14,78,0,0,17,78,0.21794871794871795
311,92025,2,0,6,16,0,0,8,16,0.5
312,92026,4,3,5,38,0,0,12,38,0.3157894736842105
313,92027,4,11,169,188,0,0,184,188,0.9787234042553191
314,92028,4,4,15,61,0,0,23,61,0.3770491803278688
315,92029,0,0,3,18,0,0,3,18,0.16666666666666666
317,92037,2,2,41,140,0,0,45,140,0.32142857142857145
318,92040,11,6,9,102,0,0,26,102,0.2549019607843137
319,92054,0,2,3,355,0,0,5,355,0.014084507042253521
320,92056,6,4,21,29,0,0,31,29,1.0689655172413792
321,92057,2,0,8,94,0,0,10,94,0.10638297872340426
322,92058,0,0,7,304,0,0,7,304,0.023026315789473683
323,92061,0,0,0,9,0,0,0,9,0.0
324,92064,28,41,28,160,0,0,97,160,0.60625
325,92065,2,3,14,136,0,0,19,136,0.13970588235294118
326,92067,0,0,17,42,0,0,17,42,0.40476190476190477
327,92069,5,4,4,35,0,0,13,35,0.37142857142857144
328,92071,0,0,1,63,0,0,1,63,0.015873015873015872
329,92075,1,2,0,33,0,0,3,33,0.09090909090909091
330,92078,1,0,3,39,0,0,4,39,0.10256410256410256
331,92081,0,1,5,14,0,0,6,14,0.42857142857142855
332,92082,2,3,2,39,1,0,7,40,0.175
333,92083,4,2,6,22,0,0,12,22,0.5454545454545454
334,92084,1,2,7,44,0,0,10,44,0.22727272727272727
335,92091,1,1,6,32,0,0,8,32,0.25
338,92102,8,1,4,38,0,0,13,38,0.34210526315789475
339,92103,5,0,19,20,0,0,24,20,1.2
340,92104,0,0,2,20,0,0,2,20,0.1
341,92105,7,1,10,27,0,0,18,27,0.6666666666666666
342,92106,1,0,14,29,0,0,15,29,0.5172413793103449
343,92107,8,4,5,42,0,0,17,42,0.40476190476190477
344,92108,0,0,0,19,0,0,0,19,0.0
345,92109,1,0,6,247,0,0,7,247,0.02834008097165992
346,92110,0,0,3,70,0,0,3,70,0.04285714285714286
347,92111,0,0,5,13,0,0,5,13,0.38461538461538464
348,92113,20,7,20,95,1,0,47,96,0.4895833333333333
349,92114,12,8,8,52,0,0,28,52,0.5384615384615384
350,92115,0,0,8,21,0,0,8,21,0.38095238095238093
351,92116,0,0,8,10,0,0,8,10,0.8
352,92117,7,1,12,46,0,0,20,46,0.43478260869565216
353,92118,1,0,1,232,0,0,2,232,0.008620689655172414
354,92119,0,0,1,21,0,0,1,21,0.047619047619047616
355,92120,0,0,8,24,0,0,8,24,0.3333333333333333
357,92122,0,0,0,26,0,0,0,26,0.0
358,92123,0,0,7,10,0,0,7,10,0.7
359,92124,1,0,8,10,0,0,9,10,0.9
360,92126,0,0,3,20,0,0,3,20,0.15
361,92127,0,0,10,36,0,0,10,36,0.2777777777777778
362,92128,1,1,10,57,0,0,12,57,0.21052631578947367
363,92129,0,0,4,37,0,0,4,37,0.10810810810810811
364,92130,0,0,18,61,0,0,18,61,0.29508196721311475
365,92131,0,0,10,29,0,0,10,29,0.3448275862068966
366,92139,6,2,3,8,0,0,11,8,1.375
367,92154,6,2,17,52,0,0,25,52,0.4807692307692308
369,92201,0,0,1,40,0,0,1,40,0.025
370,92203,3,11,77,466,0,0,91,466,0.19527896995708155
371,92210,0,0,0,132,0,0,0,132,0.0
372,92211,5,6,2,92,0,0,13,92,0.14130434782608695
373,92220,1,0,0,7,0,0,1,7,0.14285714285714285
374,92223,4,5,14,40,0,0,23,40,0.575
376,92230,1,3,0,13,0,0,4,13,0.3076923076923077
379,92234,7,18,26,101,0,0,51,101,0.504950495049505
380,92240,0,10,54,231,0,0,64,231,0.27705627705627706
381,92241,1,5,40,144,0,0,46,144,0.3194444444444444
382,92243,1,0,1,4,0,0,2,4,0.5
385,92252,4,2,4,10,0,0,10,10,1.0
386,92253,0,0,3,358,0,0,3,358,0.008379888268156424
387,92254,0,2,3,0,0,0,5,0,inf
388,92256,12,7,18,15,0,0,37,15,2.466666666666667
390,92259,5,2,0,2,0,0,7,2,3.5
391,92260,2,1,2,113,0,0,5,113,0.04424778761061947
392,92262,0,1,2,90,0,0,3,90,0.03333333333333333
393,92264,1,1,0,144,0,0,2,144,0.013888888888888888
394,92270,0,0,0,76,0,0,0,76,0.0
395,92274,1,3,4,23,0,0,8,23,0.34782608695652173
396,92276,0,10,240,480,0,0,250,480,0.5208333333333334
397,92277,0,18,126,291,0,0,144,291,0.4948453608247423
400,92283,3,0,0,7,0,0,3,7,0.42857142857142855
401,92284,21,9,16,48,0,0,46,48,0.9583333333333334
403,92301,1,3,4,3,0,0,8,3,2.6666666666666665
404,92307,8,5,16,89,0,0,29,89,0.3258426966292135
405,92308,1,0,1,33,0,0,2,33,0.06060606060606061
406,92311,4,23,17,38,0,0,44,38,1.1578947368421053
408,92314,16,7,17,54,0,0,40,54,0.7407407407407407
409,92315,1,0,3,22,0,0,4,22,0.18181818181818182
412,92320,0,0,0,18,0,0,0,18,0.0
415,92324,2,1,6,27,0,0,9,27,0.3333333333333333
416,92325,5,3,2,4,0,0,10,4,2.5
419,92333,2,0,1,3,0,0,3,3,1.0
420,92335,0,31,153,64,0,0,184,64,2.875
421,92336,0,0,0,10,0,0,0,10,0.0
422,92337,0,0,0,5,0,0,0,5,0.0
423,92339,8,2,3,58,0,0,13,58,0.22413793103448276
424,92341,2,0,3,1,0,0,5,1,5.0
426,92345,15,13,16,101,0,0,44,101,0.43564356435643564
427,92346,1,6,5,59,0,0,12,59,0.2033898305084746
428,92352,10,3,2,14,0,0,15,14,1.0714285714285714
429,92354,0,0,0,15,0,0,0,15,0.0
430,92358,3,1,0,25,0,0,4,25,0.16
431,92359,2,0,1,12,0,0,3,12,0.25
432,92363,3,1,1,16,0,0,5,16,0.3125
434,92371,0,3,25,51,0,0,28,51,0.5490196078431373
435,92372,0,2,6,42,0,0,8,42,0.19047619047619047
436,92373,1,0,1,35,0,0,2,35,0.05714285714285714
437,92374,4,4,12,100,0,0,20,100,0.2
438,92376,0,1,0,8,0,0,1,8,0.125
439,92377,0,0,0,6,0,0,0,6,0.0
442,92392,0,0,1,8,0,0,1,8,0.125
443,92394,0,1,2,9,0,0,3,9,0.3333333333333333
444,92395,1,1,1,22,0,0,3,22,0.13636363636363635
445,92397,22,17,33,149,0,0,72,149,0.48322147651006714
447,92399,5,2,5,62,0,0,12,62,0.1935483870967742
448,92404,8,3,8,41,0,0,19,41,0.4634146341463415
449,92405,13,3,0,2,0,0,16,2,8.0
450,92407,3,3,2,35,0,0,8,35,0.22857142857142856
451,92408,2,0,1,5,0,0,3,5,0.6
452,92410,1,1,0,8,0,0,2,8,0.25
454,92501,1,0,0,10,0,0,1,10,0.1
455,92503,0,0,0,16,0,0,0,16,0.0
456,92504,0,1,1,15,0,0,2,15,0.13333333333333333
457,92505,0,0,0,6,0,0,0,6,0.0
458,92506,0,0,0,31,0,0,0,31,0.0
459,92507,3,3,4,23,0,0,10,23,0.43478260869565216
461,92509,0,0,2,22,0,0,2,22,0.09090909090909091
462,92530,7,8,13,99,0,0,28,99,0.2828282828282828
463,92532,0,1,0,13,0,0,1,13,0.07692307692307693
466,92543,4,5,0,37,0,0,9,37,0.24324324324324326
467,92544,1,1,2,28,1,0,4,29,0.13793103448275862
468,92545,2,3,12,51,0,0,17,51,0.3333333333333333
469,92548,1,4,3,2,0,0,8,2,4.0
470,92549,3,0,2,9,0,0,5,9,0.5555555555555556
471,92551,4,3,1,21,0,0,8,21,0.38095238095238093
472,92553,1,2,0,19,0,0,3,19,0.15789473684210525
473,92555,0,1,0,29,0,0,1,29,0.034482758620689655
474,92557,0,0,0,19,0,0,0,19,0.0
475,92561,1,1,1,2,0,0,3,2,1.5
476,92562,3,0,0,47,0,0,3,47,0.06382978723404255
477,92563,1,0,0,12,0,0,1,12,0.08333333333333333
478,92567,0,0,0,7,0,0,0,7,0.0
479,92570,1,2,3,6,0,0,6,6,1.0
480,92571,0,0,0,73,0,0,0,73,0.0
481,92582,0,0,0,21,4,0,0,25,0.0
482,92583,1,1,1,94,0,0,3,94,0.031914893617021274
483,92584,0,0,0,27,0,0,0,27,0.0
484,92585,1,0,0,22,0,0,1,22,0.045454545454545456
485,92586,0,0,0,21,0,0,0,21,0.0
486,92587,0,0,0,12,0,0,0,12,0.0
487,92590,0,0,1,4,0,0,1,4,0.25
488,92591,0,0,0,12,0,0,0,12,0.0
489,92592,1,1,1,34,0,0,3,34,0.08823529411764706
490,92595,1,0,0,12,0,0,1,12,0.08333333333333333
491,92596,2,2,3,7,0,0,7,7,1.0
492,92602,0,0,0,10,0,0,0,10,0.0
493,92603,0,0,1,20,0,0,1,20,0.05
494,92604,0,0,0,20,0,0,0,20,0.0
495,92606,0,0,0,9,0,0,0,9,0.0
496,92610,0,0,0,9,0,0,0,9,0.0
497,92612,0,0,0,9,0,0,0,9,0.0
498,92614,0,0,0,18,0,0,0,18,0.0
500,92618,0,0,0,11,0,0,0,11,0.0
501,92620,0,0,0,31,0,0,0,31,0.0
502,92624,3,1,3,115,0,0,7,115,0.06086956521739131
503,92625,0,0,3,54,0,0,3,54,0.05555555555555555
504,92626,0,0,0,100,0,0,0,100,0.0
505,92627,1,0,0,29,0,0,1,29,0.034482758620689655
506,92629,1,1,5,68,0,0,7,68,0.10294117647058823
