,State,Zip Code,< -$100,$-100 to $-90,$-90 to $-80,$-80 to $-70,$-70 to $-60,$-60 to $-50,$-50 to $-40,$-40 to $-30,$-30 to $-20,$-20 to $-10,$-10 to $0,$0 to $10,$10 to $20,$20 to $30,$30 to $40,$40 to $50,$50 to $60,$60 to $70,$70 to $80,$80 to $90,$90 to $100,> $100,Grand Total
327,CA,92069,5.0,,2.0,1.0,,1.0,1.0,1.0,1.0,,1.0,35.0,,,,,,,,,,,48.0
328,CA,92071,,,,,,,,,,1.0,,60.0,2.0,1.0,,,,,,,,,64.0
329,CA,92075,1.0,,1.0,,,1.0,,,,,,33.0,,,,,,,,,,,36.0
330,CA,92078,1.0,,,,,,,1.0,,,2.0,33.0,5.0,1.0,,,,,,,,,43.0
331,CA,92081,,,,,,1.0,,,,,5.0,14.0,,,,,,,,,,,20.0
332,CA,92082,2.0,,1.0,1.0,,1.0,1.0,,,,1.0,33.0,3.0,3.0,,,1.0,,,,,,47.0
333,CA,92083,4.0,1.0,,,1.0,,1.0,1.0,2.0,1.0,1.0,19.0,3.0,,,,,,,,,,34.0
334,CA,92084,1.0,,,,2.0,,,1.0,,1.0,5.0,42.0,2.0,,,,,,,,,,54.0
335,CA,92091,1.0,,1.0,,,,,1.0,1.0,,4.0,30.0,1.0,,1.0,,,,,,,,40.0
338,CA,92102,8.0,,,,,1.0,1.0,,,,3.0,16.0,15.0,7.0,,,,,,,,,51.0
339,CA,92103,5.0,,,,,,1.0,1.0,,3.0,14.0,19.0,1.0,,,,,,,,,,44.0
340,CA,92104,,,,,,,,,,,2.0,20.0,,,,,,,,,,,22.0
341,CA,92105,7.0,,,,1.0,,,1.0,1.0,1.0,7.0,24.0,3.0,,,,,,,,,,45.0
342,CA,92106,1.0,,,,,,,,,1.0,13.0,29.0,,,,,,,,,,,44.0
343,CA,92107,8.0,1.0,1.0,,,2.0,,,1.0,,4.0,41.0,1.0,,,,,,,,,,59.0
344,CA,92108,,,,,,,,,,,,18.0,,,1.0,,,,,,,,19.0
345,CA,92109,1.0,,,,,,2.0,,1.0,1.0,2.0,244.0,1.0,2.0,,,,,,,,,254.0
346,CA,92110,,,,,,,,,,1.0,2.0,41.0,19.0,10.0,,,,,,,,,73.0
347,CA,92111,,,,,,,,,,,5.0,13.0,,,,,,,,,,,18.0
348,CA,92113,20.0,,1.0,1.0,1.0,4.0,6.0,7.0,3.0,4.0,,39.0,32.0,22.0,,2.0,1.0,,,,,,143.0
349,CA,92114,12.0,1.0,2.0,,2.0,3.0,,,1.0,1.0,6.0,49.0,3.0,,,,,,,,,,80.0
350,CA,92115,,,,,,,,,,1.0,7.0,21.0,,,,,,,,,,,29.0
351,CA,92116,,,,,,,,,,,8.0,10.0,,,,,,,,,,,18.0
352,CA,92117,7.0,,,,,1.0,,2.0,,,10.0,46.0,,,,,,,,,,,66.0
353,CA,92118,1.0,,,,,,,,,,1.0,229.0,2.0,1.0,,,,,,,,,234.0
354,CA,92119,,,,,,,,,,,1.0,21.0,,,,,,,,,,,22.0
355,CA,92120,,,,,,,,,,,8.0,24.0,,,,,,,,,,,32.0
357,CA,92122,,,,,,,,,,,,26.0,,,,,,,,,,,26.0
358,CA,92123,,,,,,,,,,,7.0,10.0,,,,,,,,,,,17.0
359,CA,92124,1.0,,,,,,,,,,8.0,10.0,,,,,,,,,,,19.0
360,CA,92126,,,,,,,,,,,3.0,20.0,,,,,,,,,,,23.0
361,CA,92127,,,,,,,,,,,10.0,36.0,,,,,,,,,,,46.0
362,CA,92128,1.0,,,,,1.0,,,,,10.0,57.0,,,,,,,,,,,69.0
363,CA,92129,,,,,,,,,,,4.0,37.0,,,,,,,,,,,41.0
364,CA,92130,,,,,,,,,,,18.0,61.0,,,,,,,,,,,79.0
365,CA,92131,,,,,,,,,,,10.0,29.0,,,,,,,,,,,39.0
366,CA,92139,6.0,,1.0,1.0,,,,,1.0,,2.0,8.0,,,,,,,,,,,19.0
367,CA,92154,6.0,,1.0,,,1.0,2.0,2.0,6.0,2.0,5.0,51.0,1.0,,,,,,,,,,77.0
369,CA,92201,,,,,,,,,,1.0,,40.0,,,,,,,,,,,41.0
370,CA,92203,3.0,,1.0,2.0,4.0,4.0,6.0,9.0,9.0,13.0,40.0,335.0,118.0,13.0,,,,,,,,,557.0
371,CA,92210,,,,,,,,,,,,131.0,,1.0,,,,,,,,,132.0
372,CA,92211,5.0,,1.0,1.0,2.0,2.0,1.0,,,,1.0,91.0,1.0,,,,,,,,,,105.0
373,CA,92220,1.0,,,,,,,,,,,7.0,,,,,,,,,,,8.0
374,CA,92223,4.0,,2.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,28.0,11.0,1.0,,,,,,,,,63.0
376,CA,92230,1.0,,,1.0,2.0,,,,,,,6.0,4.0,3.0,,,,,,,,,17.0
379,CA,92234,7.0,6.0,1.0,2.0,4.0,5.0,11.0,6.0,6.0,1.0,2.0,99.0,2.0,,,,,,,,,,152.0
380,CA,92240,,,,,1.0,9.0,7.0,10.0,11.0,10.0,16.0,207.0,19.0,5.0,,,,,,,,,295.0
381,CA,92241,1.0,,1.0,,1.0,3.0,5.0,11.0,7.0,10.0,7.0,137.0,7.0,,,,,,,,,,190.0
382,CA,92243,1.0,,,,,,,1.0,,,,4.0,,,,,,,,,,,6.0
385,CA,92252,4.0,,1.0,,,1.0,2.0,,,1.0,1.0,10.0,,,,,,,,,,,20.0
386,CA,92253,,,,,,,1.0,,1.0,1.0,,358.0,,,,,,,,,,,361.0
387,CA,92254,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,5.0
388,CA,92256,12.0,1.0,1.0,3.0,2.0,,3.0,2.0,3.0,5.0,5.0,10.0,2.0,3.0,,,,,,,,,52.0
390,CA,92259,5.0,,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,9.0
391,CA,92260,2.0,,,,,1.0,1.0,,,,1.0,111.0,1.0,1.0,,,,,,,,,118.0
392,CA,92262,,1.0,,,,,,,1.0,,1.0,90.0,,,,,,,,,,,93.0
393,CA,92264,1.0,1.0,,,,,,,,,,122.0,16.0,4.0,2.0,,,,,,,,146.0
394,CA,92270,,,,,,,,,,,,76.0,,,,,,,,,,,76.0
395,CA,92274,1.0,1.0,1.0,,1.0,,,4.0,,,,23.0,,,,,,,,,,,31.0
396,CA,92276,,,,,3.0,7.0,24.0,63.0,65.0,56.0,32.0,471.0,9.0,,,,,,,,,,730.0
397,CA,92277,,1.0,2.0,,5.0,10.0,23.0,31.0,27.0,24.0,21.0,236.0,35.0,19.0,1.0,,,,,,,,435.0
400,CA,92283,3.0,,,,,,,,,,,4.0,3.0,,,,,,,,,,10.0
401,CA,92284,21.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,5.0,3.0,3.0,32.0,11.0,4.0,1.0,,,,,,,,94.0
403,CA,92301,1.0,,,1.0,1.0,1.0,,,1.0,1.0,2.0,2.0,,1.0,,,,,,,,,11.0
404,CA,92307,8.0,,1.0,2.0,1.0,1.0,1.0,3.0,5.0,3.0,4.0,74.0,12.0,2.0,1.0,,,,,,,,118.0
405,CA,92308,1.0,,,,,,1.0,,,,,32.0,1.0,,,,,,,,,,35.0
406,CA,92311,4.0,1.0,1.0,4.0,9.0,8.0,3.0,5.0,2.0,3.0,4.0,37.0,,1.0,,,,,,,,,82.0
408,CA,92314,16.0,3.0,,1.0,,3.0,1.0,2.0,2.0,4.0,8.0,23.0,18.0,10.0,3.0,,,,,,,,94.0
409,CA,92315,1.0,,,,,,,,,1.0,2.0,20.0,2.0,,,,,,,,,,26.0
412,CA,92320,,,,,,,,,,,,15.0,2.0,1.0,,,,,,,,,18.0
415,CA,92324,2.0,,,,1.0,,,,2.0,2.0,2.0,17.0,8.0,2.0,,,,,,,,,36.0
416,CA,92325,5.0,,2.0,1.0,,,1.0,,1.0,,,4.0,,,,,,,,,,,14.0
419,CA,92333,2.0,,,,,,,,,,1.0,3.0,,,,,,,,,,,6.0
420,CA,92335,,,,,9.0,22.0,43.0,40.0,42.0,17.0,11.0,63.0,1.0,,,,,,,,,,248.0
421,CA,92336,,,,,,,,,,,,10.0,,,,,,,,,,,10.0
422,CA,92337,,,,,,,,,,,,5.0,,,,,,,,,,,5.0
423,CA,92339,8.0,,,1.0,1.0,,2.0,1.0,,,,44.0,7.0,6.0,1.0,,,,,,,,71.0
424,CA,92341,2.0,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,6.0
426,CA,92345,15.0,2.0,1.0,3.0,5.0,2.0,4.0,2.0,,8.0,2.0,83.0,17.0,1.0,,,,,,,,,145.0
427,CA,92346,1.0,2.0,,4.0,,,,,1.0,2.0,2.0,55.0,4.0,,,,,,,,,,71.0
428,CA,92352,10.0,2.0,1.0,,,,,,,1.0,1.0,13.0,,1.0,,,,,,,,,29.0
429,CA,92354,,,,,,,,,,,,11.0,3.0,1.0,,,,,,,,,15.0
430,CA,92358,3.0,,,,1.0,,,,,,,11.0,11.0,3.0,,,,,,,,,29.0
431,CA,92359,2.0,,,,,,,,,,1.0,10.0,1.0,,,1.0,,,,,,,15.0
432,CA,92363,3.0,,,,1.0,,,,,,1.0,10.0,2.0,3.0,1.0,,,,,,,,21.0
434,CA,92371,,1.0,,1.0,1.0,,4.0,2.0,9.0,7.0,3.0,49.0,2.0,,,,,,,,,,79.0
435,CA,92372,,,1.0,,1.0,,1.0,1.0,,2.0,2.0,33.0,5.0,3.0,1.0,,,,,,,,50.0
436,CA,92373,1.0,,,,,,1.0,,,,,28.0,5.0,1.0,1.0,,,,,,,,37.0
437,CA,92374,4.0,1.0,,,,3.0,2.0,4.0,,2.0,4.0,64.0,33.0,3.0,,,,,,,,,120.0
438,CA,92376,,,,,,1.0,,,,,,8.0,,,,,,,,,,,9.0
439,CA,92377,,,,,,,,,,,,6.0,,,,,,,,,,,6.0
442,CA,92392,,,,,,,,,,1.0,,8.0,,,,,,,,,,,9.0
443,CA,92394,,,1.0,,,,1.0,,,,1.0,9.0,,,,,,,,,,,12.0
444,CA,92395,1.0,,,,1.0,,,,,,1.0,22.0,,,,,,,,,,,25.0
445,CA,92397,22.0,1.0,2.0,1.0,7.0,6.0,8.0,9.0,3.0,5.0,8.0,129.0,13.0,7.0,,,,,,,,,221.0
447,CA,92399,5.0,,1.0,,,1.0,,,2.0,2.0,1.0,47.0,9.0,6.0,,,,,,,,,74.0
448,CA,92404,8.0,,,2.0,1.0,,,1.0,2.0,1.0,4.0,31.0,7.0,3.0,,,,,,,,,60.0
449,CA,92405,13.0,1.0,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,18.0
450,CA,92407,3.0,,,,2.0,1.0,1.0,,1.0,,,34.0,1.0,,,,,,,,,,43.0
451,CA,92408,2.0,,,,,,1.0,,,,,1.0,3.0,1.0,,,,,,,,,8.0
452,CA,92410,1.0,,1.0,,,,,,,,,2.0,4.0,2.0,,,,,,,,,10.0
454,CA,92501,1.0,,,,,,,,,,,9.0,,,1.0,,,,,,,,11.0
455,CA,92503,,,,,,,,,,,,15.0,1.0,,,,,,,,,,16.0
456,CA,92504,,,1.0,,,,,1.0,,,,14.0,,1.0,,,,,,,,,17.0
457,CA,92505,,,,,,,,,,,,5.0,,1.0,,,,,,,,,6.0
458,CA,92506,,,,,,,,,,,,30.0,,1.0,,,,,,,,,31.0
459,CA,92507,3.0,,,3.0,,,,2.0,1.0,,1.0,20.0,2.0,1.0,,,,,,,,,33.0
461,CA,92509,,,,,,,,1.0,1.0,,,17.0,4.0,1.0,,,,,,,,,24.0
462,CA,92530,7.0,1.0,1.0,2.0,2.0,2.0,4.0,,2.0,4.0,3.0,79.0,12.0,7.0,,1.0,,,,,,,127.0
463,CA,92532,,,,,,1.0,,,,,,13.0,,,,,,,,,,,14.0
466,CA,92543,4.0,,2.0,,2.0,1.0,,,,,,19.0,12.0,5.0,1.0,,,,,,,,46.0
467,CA,92544,1.0,1.0,,,,,2.0,,,,,20.0,7.0,1.0,,,1.0,,,,,,33.0
468,CA,92545,2.0,1.0,,1.0,,1.0,,2.0,1.0,7.0,2.0,47.0,4.0,,,,,,,,,,68.0
469,CA,92548,1.0,1.0,1.0,2.0,,,2.0,,1.0,,,2.0,,,,,,,,,,,10.0
470,CA,92549,3.0,,,,,,,,1.0,1.0,,9.0,,,,,,,,,,,14.0
471,CA,92551,4.0,2.0,,,1.0,,,,,1.0,,16.0,3.0,1.0,1.0,,,,,,,,29.0
472,CA,92553,1.0,1.0,,,,1.0,,,,,,18.0,1.0,,,,,,,,,,22.0
473,CA,92555,,,1.0,,,,,,,,,26.0,3.0,,,,,,,,,,30.0
474,CA,92557,,,,,,,,,,,,19.0,,,,,,,,,,,19.0
475,CA,92561,1.0,1.0,,,,,,,1.0,,,2.0,,,,,,,,,,,5.0
476,CA,92562,3.0,,,,,,,,,,,44.0,1.0,2.0,,,,,,,,,50.0
477,CA,92563,1.0,,,,,,,,,,,11.0,1.0,,,,,,,,,,13.0
478,CA,92567,,,,,,,,,,,,7.0,,,,,,,,,,,7.0
479,CA,92570,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,6.0,,,,,,,,,,,12.0
480,CA,92571,,,,,,,,,,,,72.0,,1.0,,,,,,,,,73.0
481,CA,92582,,,,,,,,,,,,20.0,1.0,,,,4.0,,,,,,25.0
482,CA,92583,1.0,1.0,,,,,1.0,,,,,79.0,7.0,5.0,3.0,,,,,,,,97.0
483,CA,92584,,,,,,,,,,,,27.0,,,,,,,,,,,27.0
484,CA,92585,1.0,,,,,,,,,,,22.0,,,,,,,,,,,23.0
485,CA,92586,,,,,,,,,,,,21.0,,,,,,,,,,,21.0
486,CA,92587,,,,,,,,,,,,12.0,,,,,,,,,,,12.0
487,CA,92590,,,,,,,,,,,1.0,4.0,,,,,,,,,,,5.0
488,CA,92591,,,,,,,,,,,,12.0,,,,,,,,,,,12.0
489,CA,92592,1.0,,,,1.0,,,,,1.0,,33.0,,1.0,,,,,,,,,37.0
490,CA,92595,1.0,,,,,,,,,,,12.0,,,,,,,,,,,13.0
491,CA,92596,2.0,,1.0,,,1.0,,2.0,1.0,,,6.0,1.0,,,,,,,,,,14.0
492,CA,92602,,,,,,,,,,,,10.0,,,,,,,,,,,10.0
493,CA,92603,,,,,,,,1.0,,,,20.0,,,,,,,,,,,21.0
494,CA,92604,,,,,,,,,,,,20.0,,,,,,,,,,,20.0
495,CA,92606,,,,,,,,,,,,9.0,,,,,,,,,,,9.0
496,CA,92610,,,,,,,,,,,,9.0,,,,,,,,,,,9.0
497,CA,92612,,,,,,,,,,,,9.0,,,,,,,,,,,9.0
498,CA,92614,,,,,,,,,,,,18.0,,,,,,,,,,,18.0
500,CA,92618,,,,,,,,,,,,11.0,,,,,,,,,,,11.0
501,CA,92620,,,,,,,,,,,,31.0,,,,,,,,,,,31.0
502,CA,92624,3.0,,1.0,,,,,,,2.0,1.0,111.0,2.0,1.0,1.0,,,,,,,,122.0
503,CA,92625,,,,,,,,,,,3.0,54.0,,,,,,,,,,,57.0
504,CA,92626,,,,,,,,,,,,99.0,,1.0,,,,,,,,,100.0
505,CA,92627,1.0,,,,,,,,,,,29.0,,,,,,,,,,,30.0
506,CA,92629,1.0,,,,,1.0,,,,1.0,4.0,67.0,1.0,,,,,,,,,,75.0
507,CA,92630,3.0,1.0,,,,,,,,,1.0,53.0,1.0,,,,,,,,,,59.0
508,CA,92637,,,,,,,,,,,,7.0,,,,,,,,,,,7.0
509,CA,92646,,,,2.0,,2.0,6.0,4.0,5.0,3.0,3.0,772.0,11.0,3.0,4.0,,,,,,,,815.0
510,CA,92647,318.0,31.0,22.0,31.0,23.0,23.0,41.0,44.0,49.0,55.0,46.0,253.0,121.0,2.0,1.0,,,,,,,,1060.0
511,CA,92648,23.0,4.0,10.0,7.0,5.0,3.0,5.0,5.0,3.0,2.0,8.0,107.0,73.0,,,,,,,,,,255.0
512,CA,92649,109.0,18.0,19.0,28.0,18.0,17.0,16.0,15.0,27.0,28.0,36.0,501.0,217.0,14.0,1.0,,,,,,,,1064.0
513,CA,92651,19.0,2.0,5.0,1.0,2.0,2.0,4.0,3.0,3.0,8.0,47.0,225.0,1.0,,,,,,,,,,322.0
514,CA,92653,,,,,,,,,,,,24.0,,,,,,,,,,,24.0
516,CA,92656,,,,,,,,,,,1.0,18.0,,,,,,,,,,,19.0
517,CA,92657,,,,,,,,,,,4.0,27.0,,,,,,,,,,,31.0
518,CA,92660,5.0,,1.0,,3.0,1.0,,2.0,1.0,2.0,13.0,88.0,,,,,,,,,,,116.0
519,CA,92661,,,,,,2.0,,2.0,1.0,2.0,3.0,225.0,4.0,1.0,,,,,,,,,240.0
520,CA,92662,8.0,2.0,1.0,,,,1.0,2.0,7.0,17.0,15.0,190.0,42.0,9.0,,,,,,,,,294.0
521,CA,92663,1.0,1.0,1.0,,2.0,,1.0,1.0,2.0,2.0,1.0,362.0,8.0,3.0,1.0,,,,,,,,386.0
522,CA,92672,2.0,,,,,,,,,,4.0,49.0,,,,,,,,,,,55.0
523,CA,92673,,,,,,,,,,,1.0,32.0,,,,,,,,,,,33.0
524,CA,92675,5.0,,,1.0,,,1.0,,1.0,2.0,2.0,108.0,19.0,13.0,1.0,,,,,,,,153.0
525,CA,92676,4.0,2.0,,2.0,,2.0,1.0,,3.0,2.0,1.0,74.0,33.0,6.0,2.0,,1.0,,,,,,133.0
526,CA,92677,,,,1.0,1.0,,1.0,,2.0,,17.0,60.0,,,,,,,,,,,82.0
527,CA,92679,1.0,2.0,,1.0,2.0,1.0,,,,3.0,11.0,69.0,,,,,,,,,,,90.0
528,CA,92683,108.0,3.0,14.0,37.0,28.0,36.0,41.0,18.0,12.0,5.0,5.0,120.0,2.0,,,,,,,,,,429.0
529,CA,92688,,,,,,,,,,,,18.0,,,,,,,,,,,18.0
530,CA,92691,,,,,,,,1.0,,1.0,1.0,47.0,,,,,,,,,,,50.0
531,CA,92692,,,,,1.0,,,,,,,35.0,,,,,,,,,,,36.0
532,CA,92694,,,,,,,,,,,5.0,20.0,,,,,,,,,,,25.0
534,CA,92703,128.0,10.0,19.0,29.0,44.0,38.0,26.0,12.0,6.0,8.0,13.0,35.0,1.0,,,,,,,,,,369.0
535,CA,92704,42.0,4.0,7.0,11.0,13.0,14.0,13.0,5.0,10.0,4.0,6.0,64.0,,,,,,,,,,,193.0
536,CA,92705,,,,,,,,,,,5.0,55.0,,,,,,,,,,,60.0
537,CA,92706,31.0,3.0,1.0,,1.0,4.0,3.0,1.0,4.0,4.0,,54.0,,,,,,,,,,,106.0
538,CA,92707,,,,,,,,,,,,17.0,,,,,,,,,,,17.0
539,CA,92708,52.0,2.0,2.0,16.0,20.0,22.0,39.0,14.0,11.0,7.0,5.0,215.0,4.0,,,,,,,,,,409.0
540,CA,92780,,,,,,,,,,,,23.0,2.0,2.0,,,,,,,,,27.0
541,CA,92782,,,,,,,,,,,1.0,19.0,,,,,,,,,,,20.0
542,CA,92801,,,,,,,,,1.0,1.0,1.0,12.0,1.0,,,,,,,,,,16.0
543,CA,92802,,,,1.0,,,,,,,,4.0,,,,,,,,,,,5.0
544,CA,92804,,,,,1.0,3.0,4.0,3.0,1.0,2.0,4.0,27.0,12.0,1.0,1.0,,,,,,,,59.0
545,CA,92805,,,,,,,,,,,2.0,15.0,,,,,,,,,,,17.0
546,CA,92806,,,,1.0,1.0,,,,,,8.0,27.0,,,,,,,,,,,37.0
547,CA,92807,1.0,,,2.0,1.0,3.0,3.0,8.0,8.0,2.0,7.0,76.0,1.0,,,,,,,,,,112.0
548,CA,92808,,,,,,,1.0,,,,2.0,9.0,,,,,,,,,,,12.0
549,CA,92821,,,,,,,,,,,2.0,16.0,,,,,,,,,,,18.0
551,CA,92831,,,,1.0,,,,2.0,1.0,,1.0,20.0,,1.0,,,,,,,,,26.0
552,CA,92832,,1.0,,,3.0,2.0,,,,,2.0,7.0,,,,,,,,,,,15.0
553,CA,92833,3.0,,1.0,2.0,1.0,10.0,10.0,12.0,19.0,4.0,8.0,23.0,5.0,,,,,,,,,,98.0
554,CA,92835,,,,1.0,1.0,,,,,3.0,,23.0,1.0,,,,,,,,,,29.0
555,CA,92840,113.0,1.0,4.0,18.0,31.0,25.0,19.0,10.0,9.0,5.0,2.0,29.0,3.0,,,,,,,,,,269.0
556,CA,92841,,,1.0,,,,,,,,,18.0,,,,,,,,,,,19.0
557,CA,92843,156.0,6.0,19.0,22.0,29.0,43.0,27.0,24.0,12.0,6.0,2.0,41.0,2.0,,,,,,,,,,389.0
558,CA,92844,,,,,,,,,,,,7.0,,,,,,,,,,,7.0
559,CA,92845,,,,1.0,,,,,,,,51.0,1.0,,,,,,,,,,53.0
560,CA,92860,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,20.0,1.0,2.0,,,,,,,,,31.0
561,CA,92861,,,1.0,2.0,2.0,1.0,6.0,4.0,3.0,3.0,3.0,19.0,,,,,,,,,,,44.0
562,CA,92865,,,,,,,,,,,2.0,20.0,,,,,,,,,,,22.0
563,CA,92866,,,,,,,,,,,,11.0,,,,,,,,,,,11.0
564,CA,92867,,,,,,,,,1.0,,2.0,37.0,,,,,,,,,,,40.0
565,CA,92868,,,,,,,,,,,,8.0,,,,,,,,,,,8.0
566,CA,92869,2.0,,,,,,2.0,,1.0,,1.0,59.0,1.0,,,,,,,,,,66.0
567,CA,92870,29.0,1.0,,1.0,,,4.0,1.0,,1.0,,23.0,,,,,,,,,,,60.0
568,CA,92879,,,,,,,,,,,,8.0,,,,,,,,,,,8.0
569,CA,92880,,,,,,,,,,,,26.0,,,,,,,,,,,26.0
570,CA,92881,3.0,,,,,,1.0,,1.0,2.0,1.0,9.0,1.0,,,,,,,,,,18.0
571,CA,92882,,1.0,,,1.0,,,,,,2.0,19.0,5.0,1.0,,,,,,,,,29.0
572,CA,92883,,,,,,,,,,,,31.0,,,,,,,,,,,31.0
573,CA,92886,1.0,,,,1.0,1.0,,,,,4.0,40.0,,,,,,,,,,,47.0
574,CA,92887,1.0,,,,,,,,,,,33.0,,1.0,,,,,,,,,35.0
575,CA,93001,29.0,3.0,2.0,5.0,1.0,2.0,7.0,4.0,4.0,4.0,9.0,421.0,19.0,17.0,16.0,,,,,1.0,,,544.0
576,CA,93003,1.0,,1.0,,,1.0,,1.0,,,2.0,90.0,1.0,,,,,,,,,,97.0
577,CA,93004,,,,,,,,,,,1.0,27.0,,,,,,,,,,,28.0
578,CA,93010,3.0,,2.0,,1.0,,3.0,3.0,,,15.0,134.0,4.0,,,,,,,,,,165.0
579,CA,93012,3.0,,,,,,1.0,,1.0,1.0,4.0,237.0,19.0,6.0,,,,,,,,,272.0
580,CA,93013,35.0,6.0,7.0,9.0,5.0,2.0,3.0,3.0,5.0,4.0,3.0,246.0,16.0,8.0,6.0,2.0,,,,,,,360.0
581,CA,93015,4.0,1.0,,1.0,2.0,2.0,,1.0,3.0,1.0,1.0,91.0,3.0,1.0,,,,,,,,,111.0
582,CA,93021,3.0,,,,1.0,,,,,1.0,5.0,68.0,4.0,,1.0,,,,,,,,83.0
583,CA,93022,3.0,,,,1.0,1.0,,1.0,2.0,,3.0,48.0,12.0,6.0,,,,,,,,,77.0
584,CA,93023,16.0,5.0,2.0,3.0,6.0,11.0,3.0,1.0,4.0,6.0,9.0,238.0,47.0,11.0,6.0,2.0,,,,,,,370.0
585,CA,93030,,,,,,,,,,,1.0,19.0,,,,,,,,,,,20.0
586,CA,93033,1.0,,,,,,,,,,,14.0,1.0,,,,,,,,,,16.0
587,CA,93035,17.0,,,,1.0,,,,,5.0,,410.0,3.0,3.0,3.0,,,,,,,,442.0
588,CA,93036,,,,,,,,,,,1.0,113.0,,,,,,,,,,,114.0
589,CA,93040,1.0,,,,,,,,,,,27.0,,,,,,,,,,,28.0
590,CA,93041,,,,,,,,,,,,39.0,,,,,,,,,,,39.0
591,CA,93060,4.0,1.0,1.0,1.0,,2.0,,,2.0,,2.0,669.0,78.0,13.0,,,,,,,,,773.0
592,CA,93063,7.0,9.0,4.0,2.0,2.0,4.0,8.0,11.0,5.0,17.0,14.0,175.0,112.0,4.0,,,,,,,,,374.0
593,CA,93065,5.0,1.0,1.0,,,3.0,5.0,6.0,8.0,18.0,27.0,412.0,325.0,22.0,1.0,,,,,,,,834.0
594,CA,93066,6.0,,,,1.0,,,1.0,,,1.0,11.0,1.0,,,,,,,,,,21.0
595,CA,93067,,,,,,,,,,,,6.0,,,,,,,,,,,6.0
596,CA,93101,3.0,,,,,,,,,1.0,,70.0,50.0,37.0,,,,,,,,,161.0
597,CA,93103,6.0,1.0,1.0,4.0,2.0,2.0,,2.0,7.0,5.0,3.0,169.0,17.0,14.0,,,,,,,,,233.0
598,CA,93105,3.0,1.0,,,1.0,2.0,1.0,,,2.0,2.0,127.0,18.0,26.0,4.0,1.0,,1.0,,,,,189.0
599,CA,93108,58.0,4.0,3.0,4.0,3.0,3.0,9.0,7.0,6.0,6.0,3.0,612.0,37.0,14.0,8.0,1.0,,,,,,,778.0
600,CA,93109,,,,,,,1.0,,,,,23.0,,,,,,,,,,,24.0
601,CA,93110,1.0,,,,2.0,,,1.0,1.0,,1.0,78.0,39.0,5.0,,,,,,,,,128.0
602,CA,93111,,,,,,,,,,,,85.0,11.0,7.0,,,,,,,,,103.0
603,CA,93117,5.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,6.0,137.0,26.0,23.0,2.0,,,,,,,,217.0
