,State,Zip Code,< -$100,$-100 to $-90,$-90 to $-80,$-80 to $-70,$-70 to $-60,$-60 to $-50,$-50 to $-40,$-40 to $-30,$-30 to $-20,$-20 to $-10,$-10 to $0,$0 to $10,$10 to $20,$20 to $30,$30 to $40,$40 to $50,$50 to $60,$60 to $70,$70 to $80,$80 to $90,$90 to $100,> $100,Grand Total
884,CA,94545,1.0,,,,,,1.0,,,1.0,,25.0,,1.0,,,,,,,,,29.0
885,CA,94546,27.0,2.0,2.0,3.0,3.0,3.0,,2.0,2.0,2.0,3.0,83.0,10.0,1.0,,,,,,,,,143.0
886,CA,94547,,,,,,,,,,,1.0,13.0,,,,,,,,,,,14.0
888,CA,94549,1.0,,2.0,,2.0,1.0,1.0,,3.0,,1.0,96.0,15.0,8.0,,,1.0,,,,,,131.0
889,CA,94550,,,,,,,,,,,,46.0,1.0,,,,,,,,,,47.0
890,CA,94551,2.0,,,,,,,,,,,25.0,,,,,,,,,,,27.0
891,CA,94552,,,,,,,1.0,,,1.0,1.0,5.0,,,,,,,,,,,8.0
892,CA,94553,10.0,3.0,5.0,2.0,3.0,3.0,6.0,15.0,13.0,20.0,13.0,153.0,103.0,56.0,,,,,,,,,405.0
893,CA,94555,1.0,,,,,,,,,,,27.0,,,,,,,,,,,28.0
894,CA,94556,,,,,,,,,1.0,,2.0,35.0,,,,,,,,,,,38.0
895,CA,94558,24.0,3.0,2.0,3.0,7.0,8.0,7.0,5.0,8.0,9.0,8.0,241.0,90.0,46.0,15.0,,1.0,1.0,,,,2.0,480.0
896,CA,94559,17.0,1.0,2.0,3.0,4.0,1.0,3.0,2.0,2.0,5.0,7.0,146.0,52.0,21.0,3.0,,,,,,,,269.0
897,CA,94560,7.0,1.0,,5.0,1.0,,3.0,2.0,1.0,1.0,1.0,36.0,,,,,,,,,,,58.0
898,CA,94561,37.0,4.0,10.0,6.0,5.0,3.0,5.0,4.0,3.0,8.0,9.0,130.0,8.0,,,,,,,,,,232.0
899,CA,94563,8.0,,1.0,1.0,,,,1.0,,,3.0,60.0,1.0,2.0,1.0,,,,,,,,78.0
900,CA,94564,,,,,,,,,,,,12.0,,,,,,,,,,,12.0
901,CA,94565,4.0,,,,,,,1.0,,,2.0,54.0,1.0,,,,,,,,,,62.0
902,CA,94566,1.0,,,1.0,,,,,,,,48.0,,,,,,,,,,,50.0
904,CA,94568,5.0,,,,1.0,,1.0,2.0,,,,24.0,6.0,2.0,,,,,,,,,41.0
905,CA,94569,5.0,,3.0,,,,,,,,1.0,5.0,,,,,,,,,,,14.0
906,CA,94571,14.0,,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,53.0,,,,,,,,,,,85.0
907,CA,94572,13.0,3.0,2.0,5.0,,2.0,5.0,2.0,,3.0,3.0,14.0,3.0,,,,,,,,,,55.0
908,CA,94574,15.0,,1.0,1.0,1.0,3.0,,,1.0,2.0,1.0,70.0,16.0,7.0,1.0,2.0,,,,1.0,,,122.0
909,CA,94577,3.0,,,,,1.0,3.0,2.0,2.0,1.0,2.0,246.0,3.0,,,,,,,,,,263.0
910,CA,94578,2.0,,,,,,1.0,2.0,7.0,11.0,2.0,33.0,,,,,,,,,,,58.0
911,CA,94579,137.0,22.0,17.0,16.0,11.0,14.0,10.0,7.0,8.0,15.0,22.0,199.0,35.0,1.0,,,,,,,,,514.0
912,CA,94580,10.0,1.0,3.0,6.0,3.0,21.0,28.0,43.0,27.0,22.0,24.0,353.0,12.0,,,,,,,,,,553.0
913,CA,94582,,,,,,,,,,,1.0,8.0,,,,,,,,,,,9.0
914,CA,94583,6.0,,,,,1.0,2.0,,1.0,1.0,1.0,32.0,3.0,,,,,,,,,,47.0
915,CA,94585,19.0,2.0,2.0,1.0,3.0,3.0,2.0,5.0,1.0,5.0,5.0,101.0,120.0,31.0,6.0,,,,,,,,306.0
917,CA,94587,9.0,,1.0,1.0,,2.0,2.0,1.0,,,5.0,56.0,4.0,,,,,,,,,,81.0
918,CA,94588,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,46.0,1.0,,1.0,,,,,,,,55.0
919,CA,94589,1.0,,,,1.0,,,,,,,20.0,,,,,,,,,,,22.0
920,CA,94590,19.0,,,,2.0,,2.0,,1.0,3.0,2.0,39.0,5.0,,,,,,,,,,73.0
921,CA,94591,26.0,4.0,2.0,10.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,128.0,6.0,,,,,,,,,,192.0
923,CA,94595,1.0,1.0,1.0,1.0,,,1.0,,,,,91.0,28.0,5.0,2.0,,,,,,,,131.0
924,CA,94596,15.0,3.0,2.0,1.0,1.0,,2.0,1.0,3.0,2.0,3.0,58.0,16.0,2.0,1.0,,,,,,,,110.0
925,CA,94597,7.0,,1.0,,2.0,,,,,1.0,,23.0,2.0,,,,,,,,,,36.0
926,CA,94598,1.0,,,,1.0,1.0,,,,,,40.0,,,,,,,,,,,43.0
927,CA,94599,2.0,,,,,1.0,,1.0,,,,25.0,4.0,,,,,,,,,,33.0
928,CA,94601,7.0,1.0,1.0,,,,,,,,,17.0,1.0,,,,,,,,,,27.0
929,CA,94602,5.0,,,,,,,,,1.0,5.0,25.0,,,,,,,,,,,36.0
930,CA,94603,2.0,,1.0,,,,,,,,,9.0,,,,,,,,,,,12.0
931,CA,94605,4.0,,,,1.0,,,1.0,,,1.0,18.0,2.0,,,,,,,,,,27.0
933,CA,94607,,,,,,,,,,,,8.0,,,,,,,,,,,8.0
934,CA,94608,1.0,,,,,,,,,,3.0,9.0,,,,,,,,,,,13.0
935,CA,94609,,,,,,,,,,,,8.0,,,,,,,,,,,8.0
936,CA,94610,,,,,,,,,,1.0,1.0,16.0,,,,,,,,,,,18.0
937,CA,94611,16.0,,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,16.0,50.0,1.0,1.0,,,,,,,,,93.0
939,CA,94618,,,,,,,,,,,2.0,21.0,,,,,,,,,,,23.0
940,CA,94619,3.0,,,,,,,,,,,16.0,,,,,,,,,,,19.0
941,CA,94621,,2.0,1.0,,,,,,,,,6.0,,,,,,,,,,,9.0
942,CA,94702,,,,,,,,,,,,11.0,,,,,,,,,,,11.0
943,CA,94703,,,,,,,,,,,2.0,6.0,,,,,,,,,,,8.0
944,CA,94705,,,,,,,,,,,1.0,16.0,,,,,,,,,,,17.0
945,CA,94706,2.0,1.0,,2.0,5.0,2.0,4.0,1.0,,,,20.0,,,,,,,,,,,37.0
946,CA,94707,1.0,,,,1.0,,3.0,,,1.0,5.0,13.0,,,,,,,,,,,24.0
947,CA,94708,,,,,,,,,,1.0,9.0,19.0,,,,,,,,,,,29.0
949,CA,94801,4.0,,1.0,,,1.0,,1.0,1.0,,2.0,45.0,5.0,2.0,1.0,,,,,,,,63.0
950,CA,94803,3.0,,,1.0,,,1.0,1.0,,1.0,,46.0,7.0,3.0,,,,,,,,,63.0
951,CA,94804,1.0,,,,,,,,,,1.0,17.0,,,,,,,,,,,19.0
952,CA,94805,1.0,,,,,,,,,,,4.0,,,,,,,,,,,5.0
953,CA,94806,34.0,3.0,10.0,10.0,13.0,7.0,12.0,8.0,16.0,16.0,11.0,76.0,8.0,2.0,,,,,,,,,226.0
954,CA,94901,22.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,7.0,8.0,455.0,44.0,39.0,13.0,1.0,,,,,,,611.0
955,CA,94903,21.0,,2.0,2.0,7.0,1.0,3.0,1.0,3.0,6.0,8.0,208.0,62.0,28.0,6.0,,,,,,,,358.0
956,CA,94904,12.0,,1.0,1.0,,,,,1.0,1.0,3.0,136.0,35.0,21.0,2.0,1.0,,1.0,,,,,215.0
957,CA,94920,29.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,6.0,243.0,19.0,23.0,11.0,2.0,2.0,1.0,,1.0,,,353.0
959,CA,94923,1.0,,,,,,,,,,,8.0,2.0,2.0,,,,,,,,,13.0
960,CA,94924,,,,,,,,,,,1.0,10.0,1.0,,2.0,,1.0,,,,,,15.0
961,CA,94925,36.0,2.0,6.0,7.0,9.0,5.0,8.0,8.0,21.0,15.0,17.0,252.0,41.0,10.0,1.0,,,,,,,,438.0
962,CA,94928,,,,,,,1.0,1.0,,,,35.0,1.0,,,,,,,,,,38.0
964,CA,94930,1.0,,,,,1.0,1.0,,2.0,1.0,2.0,91.0,17.0,25.0,,,,,,,,,141.0
965,CA,94931,,,,,,,,,,,,53.0,4.0,2.0,,,,,,,,,59.0
966,CA,94933,1.0,,,,,1.0,,,,,,5.0,2.0,1.0,,,,,,,,,10.0
967,CA,94937,2.0,2.0,,,,,,,,,1.0,14.0,,,,,,,,,,,19.0
968,CA,94938,,,,,1.0,1.0,,,,,,5.0,3.0,1.0,,,,,,,,,11.0
969,CA,94939,4.0,1.0,1.0,,2.0,,1.0,1.0,,1.0,2.0,133.0,32.0,30.0,9.0,2.0,,,,,,,219.0
970,CA,94940,5.0,1.0,,1.0,,,,,,,,4.0,,,,,,,,,,,11.0
971,CA,94941,39.0,6.0,3.0,5.0,5.0,4.0,8.0,5.0,5.0,14.0,24.0,205.0,179.0,71.0,5.0,1.0,,,,,,,579.0
972,CA,94945,5.0,,1.0,,,,1.0,2.0,4.0,,1.0,152.0,44.0,6.0,1.0,,,,,,,,217.0
973,CA,94946,,,,,,,,,,,,12.0,4.0,2.0,1.0,,,,,,,,19.0
974,CA,94947,28.0,2.0,2.0,2.0,,5.0,2.0,3.0,1.0,7.0,12.0,245.0,210.0,28.0,,,,,,,,,547.0
975,CA,94949,17.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,6.0,354.0,2.0,,,,,,,,,,405.0
976,CA,94951,,,,,,,,,,,,9.0,,,,,,,,,,,9.0
977,CA,94952,4.0,,2.0,,,,1.0,,2.0,1.0,1.0,124.0,7.0,6.0,1.0,,,,,,,,149.0
978,CA,94954,,,,,,,,,,,,71.0,3.0,1.0,,,,,,,,,75.0
979,CA,94956,2.0,1.0,,,1.0,,,,,,3.0,9.0,5.0,2.0,1.0,,,,,,,,24.0
980,CA,94957,4.0,,,,,,1.0,,2.0,,1.0,44.0,19.0,26.0,3.0,1.0,,1.0,,,,,102.0
981,CA,94960,13.0,,3.0,,1.0,,1.0,2.0,2.0,6.0,2.0,259.0,47.0,40.0,5.0,1.0,1.0,,,,,,383.0
982,CA,94963,,,,,,,,,,,,12.0,7.0,3.0,,,,,,,,,22.0
983,CA,94965,3.0,,,,,,,,,,5.0,20.0,2.0,1.0,,,,,,,,,31.0
984,CA,94970,21.0,,,,,1.0,,1.0,,1.0,,91.0,43.0,16.0,17.0,,1.0,,,1.0,,1.0,194.0
986,CA,94973,,,,,,,,,,,,6.0,,,,,,,,,,,6.0
987,CA,95002,11.0,1.0,1.0,,2.0,1.0,,2.0,1.0,1.0,1.0,46.0,37.0,12.0,2.0,1.0,,,,,,,119.0
988,CA,95003,63.0,,1.0,,,2.0,,1.0,1.0,2.0,13.0,65.0,43.0,12.0,3.0,,,,,,,,206.0
990,CA,95005,1.0,2.0,,,,,,1.0,,,,32.0,31.0,19.0,8.0,1.0,1.0,2.0,,1.0,,,99.0
991,CA,95006,8.0,2.0,1.0,,,,,1.0,,,,87.0,42.0,25.0,4.0,,1.0,,,,,,171.0
992,CA,95008,4.0,,,,,,,,1.0,,1.0,27.0,,,,,,,,,,,33.0
993,CA,95010,9.0,1.0,,,1.0,1.0,2.0,,,1.0,2.0,15.0,7.0,4.0,2.0,,1.0,,,,,,46.0
994,CA,95012,4.0,,,1.0,1.0,1.0,,1.0,1.0,2.0,,10.0,,,,,,,,,,,21.0
995,CA,95014,7.0,1.0,,,,,2.0,,,2.0,1.0,33.0,9.0,8.0,,,,,,,,,63.0
996,CA,95017,1.0,,,,,,,,,,,4.0,,,,,,,,,,,5.0
997,CA,95018,2.0,,,,1.0,3.0,,,,,,71.0,18.0,17.0,5.0,1.0,1.0,,,,,,119.0
999,CA,95020,20.0,2.0,2.0,5.0,5.0,5.0,,4.0,6.0,7.0,8.0,57.0,20.0,3.0,1.0,1.0,,,,,,,146.0
1000,CA,95023,4.0,,2.0,1.0,1.0,,,3.0,3.0,4.0,1.0,47.0,11.0,8.0,1.0,,,,,,,,86.0
1001,CA,95030,4.0,,,,,,,1.0,,4.0,8.0,31.0,,,,,,,,,,,48.0
1002,CA,95032,1.0,2.0,,2.0,1.0,1.0,,,1.0,1.0,2.0,44.0,,,,,,,,,,,55.0
1003,CA,95033,3.0,,1.0,,,,,2.0,,,3.0,5.0,,,,,,,,,,,14.0
1004,CA,95035,29.0,4.0,4.0,3.0,8.0,4.0,9.0,12.0,17.0,19.0,18.0,382.0,301.0,54.0,2.0,,,,,,,,866.0
1005,CA,95037,32.0,1.0,12.0,10.0,11.0,4.0,9.0,1.0,1.0,7.0,8.0,199.0,24.0,5.0,,1.0,,,,,,,325.0
1006,CA,95039,,,,,,,1.0,,,,1.0,8.0,,,,,,,,,,,10.0
1007,CA,95043,2.0,,,,,,,,,,,,4.0,1.0,,,,,,,,,7.0
1008,CA,95045,1.0,,,1.0,,1.0,,2.0,2.0,,,18.0,2.0,,,,,,,,,,27.0
1009,CA,95046,12.0,,1.0,1.0,2.0,3.0,2.0,3.0,6.0,3.0,1.0,41.0,21.0,9.0,,,,,,,,,105.0
1010,CA,95050,1.0,,1.0,,,,,,,,1.0,77.0,46.0,17.0,,,,,,,,,143.0
1011,CA,95051,3.0,,,,1.0,,1.0,2.0,9.0,6.0,12.0,113.0,38.0,5.0,,,,,,,,,190.0
1012,CA,95054,,,,,,,,,,1.0,,34.0,3.0,,,,,,,,,,38.0
1013,CA,95060,3.0,,,,,2.0,2.0,,1.0,2.0,2.0,406.0,26.0,6.0,1.0,,,,,,,,451.0
1014,CA,95062,5.0,,,,,1.0,1.0,,,,7.0,60.0,3.0,,,,,,,,,,77.0
1015,CA,95065,,,,,,,1.0,,,,2.0,15.0,2.0,1.0,2.0,,,1.0,,,,,24.0
1016,CA,95066,1.0,,,,,,,,,1.0,,28.0,2.0,3.0,,,,,,,,,35.0
1017,CA,95070,4.0,1.0,,,,,3.0,,,1.0,1.0,61.0,4.0,,,,,,,,,,75.0
1018,CA,95073,3.0,1.0,,,,2.0,,,1.0,2.0,1.0,27.0,13.0,8.0,3.0,,,,,,,,61.0
1019,CA,95076,124.0,17.0,11.0,19.0,20.0,16.0,30.0,35.0,24.0,14.0,32.0,243.0,198.0,33.0,2.0,,,,,,,,818.0
1020,CA,95110,6.0,,,,1.0,3.0,1.0,2.0,,,9.0,87.0,139.0,13.0,,,,,,,,,261.0
1021,CA,95111,3.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,6.0
1022,CA,95112,4.0,2.0,2.0,1.0,3.0,3.0,1.0,,2.0,2.0,3.0,40.0,29.0,4.0,,,,,,,,,96.0
1024,CA,95116,22.0,3.0,1.0,4.0,4.0,2.0,6.0,13.0,11.0,27.0,66.0,400.0,340.0,18.0,,,,,,,,,917.0
1025,CA,95117,1.0,,,,,5.0,4.0,9.0,6.0,6.0,2.0,47.0,,,,,,,,,,,80.0
1026,CA,95118,11.0,,1.0,1.0,6.0,13.0,26.0,27.0,14.0,7.0,4.0,186.0,,,,,,,,,,,296.0
1027,CA,95120,24.0,3.0,4.0,5.0,2.0,4.0,6.0,6.0,9.0,5.0,3.0,141.0,128.0,27.0,1.0,,,,,,,,368.0
1028,CA,95121,,,,,,,,,,,1.0,9.0,3.0,,,,,,,,,,13.0
1029,CA,95122,3.0,,,,,1.0,1.0,6.0,4.0,6.0,11.0,56.0,10.0,,,,,,,,,,98.0
1030,CA,95123,3.0,1.0,2.0,,,,,,,,1.0,3.0,2.0,,,,,,,,,,12.0
1031,CA,95124,1.0,1.0,,2.0,1.0,1.0,,1.0,,,,2.0,,,,,,,,,,,9.0
1032,CA,95125,34.0,5.0,6.0,4.0,3.0,18.0,18.0,23.0,32.0,23.0,14.0,689.0,369.0,48.0,1.0,,,,,,,,1287.0
1033,CA,95126,,,,,,,,1.0,,1.0,,3.0,1.0,,,,,,,,,,6.0
1034,CA,95127,4.0,,,1.0,7.0,18.0,25.0,32.0,31.0,24.0,20.0,145.0,8.0,,,,,,,,,,315.0
1036,CA,95129,1.0,,,,,,,1.0,,,,7.0,,,,,,,,,,,9.0
1038,CA,95131,1.0,,,,,,,1.0,8.0,9.0,2.0,38.0,1.0,,,,,,,,,,60.0
1039,CA,95132,23.0,,4.0,6.0,5.0,7.0,15.0,17.0,15.0,18.0,17.0,156.0,14.0,1.0,,,,,,,,,298.0
1040,CA,95133,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,6.0,3.0,71.0,56.0,1.0,,,,,,,,,154.0
1041,CA,95134,1.0,,,,,,,,,,1.0,62.0,11.0,,,,,,,,,,75.0
1043,CA,95136,1.0,,,,,,,1.0,,1.0,1.0,2.0,,,,1.0,,,,,,,7.0
1046,CA,95148,,1.0,1.0,,,,,,,,2.0,49.0,28.0,3.0,,,,,,,,,84.0
1048,CA,95203,4.0,3.0,1.0,1.0,,2.0,1.0,2.0,1.0,,,149.0,,,,,,,,,,,164.0
1049,CA,95204,156.0,30.0,19.0,19.0,11.0,7.0,11.0,16.0,21.0,23.0,30.0,1663.0,,,,,,,,,,,2006.0
1050,CA,95205,,,,,1.0,,,,,,,34.0,,,,,,,,,,,35.0
1051,CA,95206,31.0,2.0,,3.0,6.0,11.0,10.0,5.0,2.0,3.0,5.0,249.0,16.0,6.0,,,,,,,,,349.0
1052,CA,95207,,,,,,,,1.0,,,20.0,215.0,,,,,,,,,,,236.0
1053,CA,95209,1.0,,,,,1.0,,,,,5.0,247.0,,,,,,,,,,,254.0
1054,CA,95210,,,,,,,,,,,15.0,53.0,,,,,,,,,,,68.0
1055,CA,95212,1.0,,,,,,,,,,6.0,87.0,,,,,,,,,,,94.0
1056,CA,95215,6.0,,,3.0,2.0,3.0,6.0,4.0,6.0,,4.0,56.0,16.0,5.0,1.0,,,,,,,,112.0
1057,CA,95219,1.0,1.0,,1.0,,,,,1.0,2.0,48.0,781.0,,,,,,,,,,,835.0
1058,CA,95220,,,1.0,,1.0,,,1.0,,,1.0,38.0,3.0,,,,,,,,,,45.0
1059,CA,95222,,,,,,,,,,,,14.0,1.0,,,,,,,,,,15.0
1060,CA,95223,2.0,1.0,,,,,,1.0,,1.0,3.0,17.0,,,,,,,,,,,25.0
1061,CA,95228,,,1.0,,2.0,,,,,,,18.0,3.0,3.0,2.0,,,,,,,,29.0
1062,CA,95230,,,1.0,,,,,,,,1.0,10.0,2.0,,,,,,,,,,14.0
1063,CA,95231,,,,,1.0,,1.0,1.0,1.0,,1.0,9.0,1.0,,,,,,,,,,15.0
1064,CA,95236,1.0,,,,,,1.0,2.0,,1.0,1.0,9.0,1.0,,,,,,,,,,16.0
1066,CA,95240,3.0,,2.0,2.0,2.0,4.0,4.0,2.0,,2.0,,117.0,12.0,,1.0,,,,,,,,151.0
1067,CA,95242,54.0,1.0,1.0,7.0,3.0,5.0,4.0,7.0,6.0,7.0,5.0,188.0,,,,,,,,,,,288.0
1070,CA,95247,,,,,,1.0,,,,,,8.0,,,,,,,,,,,9.0
1071,CA,95249,,,,,,,,,1.0,,,7.0,,,,,,,,,,,8.0
1072,CA,95252,1.0,,,,1.0,,,,,1.0,1.0,53.0,4.0,4.0,,,,,,,,,65.0
1073,CA,95255,,1.0,1.0,,,,,,,,,4.0,,,,,,,,,,,6.0
1074,CA,95258,1.0,,,,,,,,,,,70.0,,,,,,,,,,,71.0
1075,CA,95301,12.0,1.0,,1.0,3.0,1.0,4.0,,,3.0,6.0,59.0,,,,,,,,,,,90.0
1077,CA,95304,87.0,7.0,3.0,6.0,8.0,,4.0,2.0,9.0,4.0,5.0,56.0,2.0,,,,,,,,,,193.0
1078,CA,95307,,,,,,,,,,,,10.0,,,,,,,,,,,10.0
1080,CA,95313,3.0,1.0,,1.0,,,2.0,1.0,,,,3.0,,,,,,,,,,,11.0
1082,CA,95316,,,,,,,,,,,,5.0,,,,,,,,,,,5.0
1083,CA,95317,5.0,,1.0,1.0,,,,,,,2.0,1.0,1.0,,,,,,,,,,11.0
1084,CA,95320,2.0,1.0,,,,,1.0,,2.0,1.0,1.0,12.0,,,,,,,,,,,20.0
1086,CA,95322,3.0,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,,7.0
1087,CA,95324,11.0,1.0,1.0,1.0,1.0,1.0,,,1.0,7.0,3.0,7.0,1.0,2.0,2.0,,,,,,,,39.0
1091,CA,95330,2.0,,,,,,,1.0,,,2.0,145.0,,,,,,,,,,,150.0
1092,CA,95333,1.0,,2.0,1.0,1.0,,2.0,2.0,3.0,1.0,6.0,42.0,6.0,1.0,,,,,,,,,68.0
1095,CA,95336,1.0,,,,,,1.0,2.0,,,,73.0,3.0,,,,,,,,,,80.0
1096,CA,95337,25.0,,1.0,1.0,1.0,3.0,4.0,2.0,3.0,4.0,15.0,182.0,,,,,,,,,,,241.0
1097,CA,95340,26.0,17.0,21.0,33.0,51.0,35.0,32.0,11.0,14.0,24.0,138.0,978.0,14.0,6.0,,,,,,,,,1400.0
1098,CA,95341,31.0,6.0,4.0,8.0,21.0,29.0,25.0,29.0,29.0,29.0,36.0,1352.0,9.0,1.0,,,,,,,,,1609.0
1099,CA,95348,21.0,1.0,1.0,4.0,8.0,10.0,6.0,5.0,5.0,13.0,6.0,524.0,65.0,9.0,2.0,,,,,,,,680.0
1100,CA,95350,,,,,,,,,,,,17.0,,,,,,,,,,,17.0
1101,CA,95351,8.0,1.0,1.0,1.0,,20.0,,2.0,,5.0,4.0,47.0,35.0,4.0,4.0,,,,,,,,132.0
1102,CA,95354,8.0,,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,19.0,4.0,2.0,2.0,,,,,,,,43.0
1103,CA,95355,2.0,,,,,,,,,,1.0,44.0,,,,,,,,,,,47.0
1104,CA,95356,,,,,,,,,,,6.0,29.0,,,,,,,,,,,35.0
1105,CA,95357,1.0,,,,,,,,,,,9.0,,,,,,,,,,,10.0
1106,CA,95358,11.0,1.0,,,2.0,,1.0,3.0,4.0,2.0,3.0,33.0,23.0,6.0,,,,,,,,,89.0
1107,CA,95360,2.0,1.0,1.0,7.0,11.0,6.0,10.0,9.0,3.0,,4.0,86.0,,,,,,,,,,,140.0
1108,CA,95361,,,,1.0,,,,,,,1.0,28.0,,,,,,,,,,,30.0
1109,CA,95363,2.0,13.0,15.0,20.0,28.0,19.0,4.0,1.0,3.0,4.0,9.0,92.0,,,,,,,,,,,210.0
1110,CA,95365,4.0,4.0,5.0,12.0,10.0,6.0,7.0,1.0,5.0,4.0,14.0,156.0,,,,,,,,,,,228.0
1111,CA,95366,,,,,,,,,,,3.0,41.0,,,,,,,,,,,44.0
1112,CA,95367,,,,,,,,,,,,21.0,,,,,,,,,,,21.0
1113,CA,95368,,,,,,,,,,,,10.0,,,,,,,,,,,10.0
1114,CA,95369,,,,,,,,,,,,5.0,3.0,1.0,,,,,,,,,9.0
1115,CA,95370,2.0,,,,,,,,1.0,,,29.0,1.0,1.0,,,,,,,,,34.0
1116,CA,95374,5.0,,,,1.0,2.0,,2.0,4.0,3.0,1.0,9.0,1.0,4.0,,,,,,,,,32.0
1117,CA,95376,,,,,,,,,,,,40.0,,,,,,,,,,,40.0
1118,CA,95377,,,,,,,,,,,,15.0,,,,,,,,,,,15.0
1120,CA,95380,2.0,,,,,,1.0,1.0,1.0,,1.0,13.0,,,,,,,,,,,19.0
1121,CA,95382,,,,,,,,,,,,20.0,,,,,,,,,,,20.0
1124,CA,95386,1.0,,,,,,,,,,,8.0,,,,,,,,,,,9.0
1126,CA,95391,2.0,,,,,,,,,,1.0,12.0,,,,,,,,,,,15.0
1127,CA,95401,3.0,,,,,,,,,,,34.0,1.0,1.0,,,,,,,,,39.0
1128,CA,95403,,,,,,,,,,,,25.0,,,,,,,,,,,25.0
1129,CA,95404,1.0,,,,,,,,,,1.0,35.0,,,,,,,,,,,37.0
1130,CA,95405,,,,,,,,,,,,23.0,,1.0,,,,,,,,,24.0
1131,CA,95407,2.0,2.0,1.0,,,,,,,,1.0,38.0,8.0,,,,,,,,,,52.0
1132,CA,95409,,,,,,,,,,,,40.0,3.0,1.0,,,,,,,,,44.0
1135,CA,95421,3.0,,1.0,,1.0,,,,,,,44.0,12.0,9.0,3.0,,,,,,,,73.0
1136,CA,95422,6.0,,1.0,,2.0,,1.0,2.0,5.0,1.0,5.0,126.0,59.0,12.0,1.0,,,1.0,,,,,222.0
1137,CA,95423,8.0,1.0,2.0,1.0,,1.0,3.0,1.0,,2.0,4.0,108.0,94.0,31.0,4.0,1.0,1.0,,,,,,262.0
1138,CA,95425,10.0,,1.0,1.0,,1.0,1.0,,1.0,2.0,1.0,39.0,9.0,6.0,1.0,,,,,,,,73.0
1141,CA,95436,5.0,,,,7.0,1.0,,,2.0,,,110.0,18.0,23.0,3.0,3.0,1.0,1.0,,,,,174.0
1142,CA,95437,,,,,,,,,,,,12.0,,,,,,,,,,,12.0
1144,CA,95441,4.0,,,,,,,1.0,,1.0,,13.0,9.0,2.0,,,,,,,,,30.0
1145,CA,95442,,,,,,,,,,,,31.0,5.0,4.0,,1.0,,,,,,,41.0
1148,CA,95445,1.0,,,,,,,,,,,4.0,,,,,,,,,,,5.0
1149,CA,95446,30.0,,,1.0,,,3.0,2.0,2.0,1.0,7.0,405.0,74.0,58.0,24.0,9.0,1.0,,1.0,,,,618.0
1150,CA,95448,,,,,,,,1.0,,,,134.0,9.0,11.0,2.0,2.0,,,,,,,159.0
